,MMSI,BaseDateTime,LAT,LON,SOG,COG
5369,316001251,2019-01-01T00:00:16,49.25976,-123.67184,18.7,78.1
11776,316001251,2019-01-01T00:01:22,49.26083,-123.6632,18.8,80.2
15693,316001251,2019-01-01T00:02:27,49.26195,-123.65461,18.8,78.2
23137,316001251,2019-01-01T00:03:40,49.26355,-123.64537,18.9,74.6
27834,316001251,2019-01-01T00:05:04,49.26551,-123.6344,18.8,73.3
35458,316001251,2019-01-01T00:06:09,49.26701,-123.626,18.9,75.3
41703,316001251,2019-01-01T00:07:16,49.26863,-123.61741,18.9,74.5
47768,316001251,2019-01-01T00:08:22,49.27013,-123.60886,18.9,73.7
49527,316001251,2019-01-01T00:09:23,49.27159,-123.60114,19.0,74.3
58199,316001251,2019-01-01T00:10:28,49.27321,-123.59279,19.0,73.2
60777,316001251,2019-01-01T00:11:34,49.27475,-123.58427,18.8,74.4
69462,316001251,2019-01-01T00:12:40,49.27641,-123.57568,18.9,74.8
75191,316001251,2019-01-01T00:13:46,49.2779,-123.56713,18.8,73.1
82651,316001251,2019-01-01T00:14:47,49.2793,-123.5594,18.9,76.3
85391,316001251,2019-01-01T00:15:57,49.28092,-123.55028,18.8,74.8
87772,316001251,2019-01-01T00:17:04,49.28238,-123.54176,18.8,74.3
92459,316001251,2019-01-01T00:18:10,49.28388,-123.53326,18.8,74.7
106739,316001251,2019-01-01T00:19:16,49.28545,-123.52484,18.7,74.3
110212,316001251,2019-01-01T00:20:22,49.28704,-123.51643,18.6,71.5
114118,316001251,2019-01-01T00:21:27,49.2887,-123.50803,18.9,74.7
114641,316001251,2019-01-01T00:22:35,49.29067,-123.49967,18.8,67.9
116672,316001251,2019-01-01T00:23:40,49.29265,-123.49152,18.9,70.2
127634,316001251,2019-01-01T00:24:46,49.29478,-123.48333,19.0,69.1
138975,316001251,2019-01-01T00:29:46,49.3075,-123.44862,18.9,52.9
147764,316001251,2019-01-01T00:27:42,49.30078,-123.46186,18.5,52.8
148237,316001251,2019-01-01T00:32:10,49.31498,-123.43307,19.0,62.1
153858,316001251,2019-01-01T00:33:44,49.31845,-123.4218,18.8,70.0
161746,316001251,2019-01-01T00:35:34,49.321,-123.40746,19.0,78.3
179280,316001251,2019-01-01T00:38:04,49.32362,-123.38773,18.9,78.4
195139,316001251,2019-01-01T00:43:20,49.33028,-123.34783,17.6,40.9
198118,316001251,2019-01-01T00:44:34,49.33581,-123.34303,18.9,30.6
200826,316001251,2019-01-01T00:42:10,49.32775,-123.35554,18.7,78.9
215082,316001251,2019-01-01T00:45:46,49.3412,-123.33797,18.9,30.9
220824,316001251,2019-01-01T00:46:47,49.34563,-123.33364,18.9,33.4
222181,316001251,2019-01-01T00:47:52,49.3505,-123.32894,18.9,32.8
233774,316001251,2019-01-01T00:48:58,49.35525,-123.32415,18.8,32.1
239198,316001251,2019-01-01T00:54:00,49.37723,-123.30164,19.2,41.6
247618,316001251,2019-01-01T00:57:06,49.38597,-123.28287,10.8,64.5
266975,316001251,2019-01-01T01:00:00,49.38156,-123.27102,13.6,165.6
269956,316001251,2019-01-01T00:58:08,49.38638,-123.27782,12.7,101.5
272579,316001251,2019-01-01T01:01:10,49.37854,-123.27033,7.1,181.8
279998,316001251,2019-01-01T00:59:12,49.38435,-123.27287,13.4,142.1
282906,316001251,2019-01-01T01:03:00,49.3766,-123.27083,1.4,197.3
318647,316001251,2019-01-01T01:09:00,49.37646,-123.2709,0.0,11.6
337156,316001251,2019-01-01T01:14:00,49.37647,-123.27089,0.0,128.8
355202,316001251,2019-01-01T01:15:21,49.37647,-123.27089,0.0,198.5
360867,316001251,2019-01-01T01:18:00,49.37647,-123.27089,0.0,280.3
372317,316001251,2019-01-01T01:19:21,49.37647,-123.27089,0.0,72.0
376830,316001251,2019-01-01T01:20:40,49.37647,-123.27089,0.0,165.2
384414,316001251,2019-01-01T01:21:59,49.37647,-123.27089,0.0,308.1
386742,316001251,2019-01-01T01:24:20,49.37647,-123.27088,0.0,165.1
403744,316001251,2019-01-01T01:26:40,49.37647,-123.27089,0.0,270.9
413488,316001251,2019-01-01T01:28:00,49.37647,-123.27089,0.0,227.3
418442,316001251,2019-01-01T01:29:06,49.37723,-123.27081,0.0,247.0
427852,316001251,2019-01-01T01:31:30,49.37759,-123.27064,4.5,10.6
433233,316001251,2019-01-01T01:35:02,49.3916,-123.27496,18.0,341.0
440978,316001251,2019-01-01T01:30:20,49.37723,-123.27081,0.0,127.7
440979,316001251,2019-01-01T01:37:02,49.40058,-123.27928,16.4,343.7
448713,316001251,2019-01-01T01:39:26,49.41099,-123.28387,16.1,344.2
465800,316001251,2019-01-01T01:41:44,49.42079,-123.28838,16.0,342.7
471558,316001251,2019-01-01T01:44:44,49.43218,-123.29736,15.8,293.9
477703,316001251,2019-01-01T01:46:06,49.43407,-123.30653,16.5,281.0
482914,316001251,2019-01-01T01:48:10,49.43308,-123.32072,16.5,250.4
488734,316001251,2019-01-01T01:49:50,49.43058,-123.33181,16.3,250.4
497042,316001251,2019-01-01T01:51:38,49.42791,-123.34356,16.2,251.5
506253,316001251,2019-01-01T01:53:44,49.42486,-123.35713,16.1,250.2
508109,316001251,2019-01-01T01:54:56,49.42418,-123.36526,16.1,269.4
