,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
0,5369,316001251,2019-01-01 00:00:16,49.25976,-123.67184,18.7,78.1
1,11776,316001251,2019-01-01 00:01:22,49.26083,-123.6632,18.8,80.2
2,15693,316001251,2019-01-01 00:02:27,49.26195,-123.65461,18.8,78.2
3,23137,316001251,2019-01-01 00:03:40,49.26355,-123.64537,18.9,74.6
4,27834,316001251,2019-01-01 00:05:04,49.26551,-123.6344,18.8,73.3
5,35458,316001251,2019-01-01 00:06:09,49.26701,-123.626,18.9,75.3
6,41703,316001251,2019-01-01 00:07:16,49.26863,-123.61741,18.9,74.5
7,47768,316001251,2019-01-01 00:08:22,49.27013,-123.60886,18.9,73.7
8,49527,316001251,2019-01-01 00:09:23,49.27159,-123.60114,19.0,74.3
9,58199,316001251,2019-01-01 00:10:28,49.27321,-123.59279,19.0,73.2
10,60777,316001251,2019-01-01 00:11:34,49.27475,-123.58427,18.8,74.4
11,69462,316001251,2019-01-01 00:12:40,49.27641,-123.57568,18.9,74.8
12,75191,316001251,2019-01-01 00:13:46,49.2779,-123.56713,18.8,73.1
13,82651,316001251,2019-01-01 00:14:47,49.2793,-123.5594,18.9,76.3
14,85391,316001251,2019-01-01 00:15:57,49.28092,-123.55028,18.8,74.8
15,87772,316001251,2019-01-01 00:17:04,49.28238,-123.54176,18.8,74.3
16,92459,316001251,2019-01-01 00:18:10,49.28388,-123.53326,18.8,74.7
17,106739,316001251,2019-01-01 00:19:16,49.28545,-123.52484,18.7,74.3
18,110212,316001251,2019-01-01 00:20:22,49.28704,-123.51643,18.6,71.5
19,114118,316001251,2019-01-01 00:21:27,49.2887,-123.50803,18.9,74.7
20,114641,316001251,2019-01-01 00:22:35,49.29067,-123.49967,18.8,67.9
21,116672,316001251,2019-01-01 00:23:40,49.29265,-123.49152,18.9,70.2
22,127634,316001251,2019-01-01 00:24:46,49.29478,-123.48333,19.0,69.1
24,147764,316001251,2019-01-01 00:27:42,49.30078,-123.46186,18.5,52.8
23,138975,316001251,2019-01-01 00:29:46,49.3075,-123.44862,18.9,52.9
25,148237,316001251,2019-01-01 00:32:10,49.31498,-123.43307,19.0,62.1
26,153858,316001251,2019-01-01 00:33:44,49.31845,-123.4218,18.8,70.0
27,161746,316001251,2019-01-01 00:35:34,49.321,-123.40746,19.0,78.3
28,179280,316001251,2019-01-01 00:38:04,49.32362,-123.38773,18.9,78.4
31,200826,316001251,2019-01-01 00:42:10,49.32775,-123.35554,18.7,78.9
29,195139,316001251,2019-01-01 00:43:20,49.33028,-123.34783,17.6,40.9
30,198118,316001251,2019-01-01 00:44:34,49.33581,-123.34303,18.9,30.6
32,215082,316001251,2019-01-01 00:45:46,49.3412,-123.33797,18.9,30.9
33,220824,316001251,2019-01-01 00:46:47,49.34563,-123.33364,18.9,33.4
34,222181,316001251,2019-01-01 00:47:52,49.3505,-123.32894,18.9,32.8
35,233774,316001251,2019-01-01 00:48:58,49.35525,-123.32415,18.8,32.1
36,239198,316001251,2019-01-01 00:54:00,49.37723,-123.30164,19.2,41.6
37,247618,316001251,2019-01-01 00:57:06,49.38597,-123.28287,10.8,64.5
39,269956,316001251,2019-01-01 00:58:08,49.38638,-123.27782,12.7,101.5
41,279998,316001251,2019-01-01 00:59:12,49.38435,-123.27287,13.4,142.1
38,266975,316001251,2019-01-01 01:00:00,49.38156,-123.27102,13.6,165.6
40,272579,316001251,2019-01-01 01:01:10,49.37854,-123.27033,7.1,181.8
42,282906,316001251,2019-01-01 01:03:00,49.3766,-123.27083,1.4,197.3
43,318647,316001251,2019-01-01 01:09:00,49.37646,-123.2709,0.0,11.6
44,337156,316001251,2019-01-01 01:14:00,49.37647,-123.27089,0.0,128.8
45,355202,316001251,2019-01-01 01:15:21,49.37647,-123.27089,0.0,198.5
46,360867,316001251,2019-01-01 01:18:00,49.37647,-123.27089,0.0,280.3
47,372317,316001251,2019-01-01 01:19:21,49.37647,-123.27089,0.0,72.0
48,376830,316001251,2019-01-01 01:20:40,49.37647,-123.27089,0.0,165.2
49,384414,316001251,2019-01-01 01:21:59,49.37647,-123.27089,0.0,308.1
50,386742,316001251,2019-01-01 01:24:20,49.37647,-123.27088,0.0,165.1
51,403744,316001251,2019-01-01 01:26:40,49.37647,-123.27089,0.0,270.9
52,413488,316001251,2019-01-01 01:28:00,49.37647,-123.27089,0.0,227.3
53,418442,316001251,2019-01-01 01:29:06,49.37723,-123.27081,0.0,247.0
56,440978,316001251,2019-01-01 01:30:20,49.37723,-123.27081,0.0,127.7
54,427852,316001251,2019-01-01 01:31:30,49.37759,-123.27064,4.5,10.6
55,433233,316001251,2019-01-01 01:35:02,49.3916,-123.27496,18.0,341.0
57,440979,316001251,2019-01-01 01:37:02,49.40058,-123.27928,16.4,343.7
58,448713,316001251,2019-01-01 01:39:26,49.41099,-123.28387,16.1,344.2
59,465800,316001251,2019-01-01 01:41:44,49.42079,-123.28838,16.0,342.7
60,471558,316001251,2019-01-01 01:44:44,49.43218,-123.29736,15.8,293.9
61,477703,316001251,2019-01-01 01:46:06,49.43407,-123.30653,16.5,281.0
62,482914,316001251,2019-01-01 01:48:10,49.43308,-123.32072,16.5,250.4
63,488734,316001251,2019-01-01 01:49:50,49.43058,-123.33181,16.3,250.4
64,497042,316001251,2019-01-01 01:51:38,49.42791,-123.34356,16.2,251.5
65,506253,316001251,2019-01-01 01:53:44,49.42486,-123.35713,16.1,250.2
66,508109,316001251,2019-01-01 01:54:56,49.42418,-123.36526,16.1,269.4
68,539197,316001251,2019-01-01 01:58:14,49.42349,-123.38822,16.2,266.3
67,527439,316001251,2019-01-01 01:59:26,49.42308,-123.39652,16.2,266.3
69,541780,316001251,2019-01-01 02:00:02,49.42291,-123.40066,16.2,265.6
70,548058,316001251,2019-01-01 02:01:14,49.42251,-123.40884,16.2,266.5
71,556736,316001251,2019-01-01 02:02:44,49.42204,-123.41918,16.1,266.7
72,564553,316001251,2019-01-01 02:03:50,49.42182,-123.42686,16.1,267.8
73,568672,316001251,2019-01-01 02:05:08,49.42177,-123.43583,16.6,271.0
74,577567,316001251,2019-01-01 02:06:22,49.42254,-123.44468,17.6,296.1
76,592217,316001251,2019-01-01 02:07:24,49.42612,-123.45001,17.9,331.3
75,585943,316001251,2019-01-01 02:08:50,49.43231,-123.4552,14.2,329.4
77,594735,316001251,2019-01-01 02:10:02,49.43587,-123.45836,12.8,326.4
78,598988,316001251,2019-01-01 02:11:14,49.43771,-123.46369,11.9,270.8
80,624264,316001251,2019-01-01 02:12:26,49.43652,-123.46868,8.4,234.6
79,610419,316001251,2019-01-01 02:14:06,49.43436,-123.47159,3.1,206.7
82,631592,316001251,2019-01-01 02:15:15,49.43402,-123.47186,0.6,209.4
81,627258,316001251,2019-01-01 02:17:06,49.43399,-123.47189,0.0,249.6
83,640913,316001251,2019-01-01 02:18:16,49.43399,-123.47189,0.0,58.8
84,650751,316001251,2019-01-01 02:20:16,49.43398,-123.47189,0.0,84.4
85,652286,316001251,2019-01-01 02:22:36,49.43398,-123.47189,0.0,119.4
86,663023,316001251,2019-01-01 02:25:36,49.43398,-123.47189,0.0,196.7
87,674893,316001251,2019-01-01 02:26:46,49.43398,-123.47189,0.0,210.7
88,681407,316001251,2019-01-01 02:29:46,49.43398,-123.47189,0.0,33.3
89,699216,316001251,2019-01-01 02:31:06,49.43398,-123.47189,0.0,70.0
90,704172,316001251,2019-01-01 02:32:25,49.43398,-123.47189,0.0,269.8
91,709706,316001251,2019-01-01 02:33:37,49.43398,-123.47189,0.0,331.1
92,714952,316001251,2019-01-01 02:37:35,49.43398,-123.47189,0.0,357.6
